X cood.,Y cood.,Pressure,Height,X tilt,Y tilt,Thickness,Time,Tip/Ers
3968,18297,0,-40,2100,-2100,0,0,Tip
3967,18299,0,-40,2100,-2100,0,2,Tip
3967,18301,0,-39,2100,-2100,0,4,Tip
3965,18308,0,-38,2100,-2100,0,6,Tip
3964,18317,0,-37,2200,-2100,0,8,Tip
3964,18326,0,-36,2200,-2100,0,10,Tip
3965,18334,0,-36,2200,-2100,0,12,Tip
3966,18341,0,-35,2200,-2200,0,14,Tip
3968,18349,0,-34,2200,-2200,0,16,Tip
3971,18357,0,-34,2200,-2200,0,18,Tip
3973,18365,0,-33,2200,-2200,0,20,Tip
3976,18373,0,-32,2200,-2200,0,22,Tip
3979,18382,0,-31,2200,-2200,0,24,Tip
3981,18391,0,-30,2200,-2200,0,27,Tip
3983,18400,0,-28,2200,-2200,0,29,Tip
3985,18410,0,-27,2200,-2200,0,31,Tip
3987,18421,0,-26,2200,-2200,0,33,Tip
3989,18432,0,-25,2200,-2200,0,35,Tip
3990,18443,0,-24,2200,-2200,0,37,Tip
3991,18454,0,-23,2200,-2200,0,39,Tip
3991,18464,0,-22,2200,-2200,0,41,Tip
3992,18475,0,-21,2200,-2200,0,43,Tip
3993,18485,0,-21,2200,-2200,0,45,Tip
3995,18496,0,-21,2200,-2200,0,47,Tip
3996,18506,0,-20,2200,-2200,0,50,Tip
3998,18516,0,-17,2200,-2200,0,52,Tip
4003,18537,0,-16,2200,-2200,0,54,Tip
4005,18546,0,-15,2200,-2200,0,56,Tip
4008,18555,0,-12,2200,-2200,0,58,Tip
4015,18574,0,-12,2200,-2200,0,60,Tip
4021,18590,0,-11,2200,-2200,0,62,Tip
4027,18603,0,-9,2200,-2200,0,64,Tip
4032,18616,0,-8,2300,-2200,0,66,Tip
4038,18628,0,-5,2300,-2200,0,68,Tip
4044,18641,0,-4,2300,-2200,0,70,Tip
4051,18653,0,-3,2300,-2200,0,72,Tip
4059,18666,0,-3,2300,-2300,0,75,Tip
4067,18679,0,-3,2300,-2300,0,77,Tip
4076,18692,0,-2,2300,-2300,0,79,Tip
4094,18720,0,-1,2300,-2300,0,81,Tip
4103,18733,0,0,2300,-2300,0,83,Tip
4113,18747,0,0,2300,-2300,0,85,Tip
4124,18761,0,0,2300,-2300,0,87,Tip
4135,18774,0,0,2300,-2300,0,89,Tip
4148,18787,0,0,2300,-2300,0,91,Tip
4159,18802,0,0,2300,-2300,0,93,Tip
4184,18840,0,0,2300,-2300,0,95,Tip
4186,18844,0,0,2300,-2300,0,97,Tip
4192,18852,302,0,2300,-2300,336,99,Tip
4201,18864,327,0,2300,-2300,336,102,Tip
4213,18881,298,0,2300,-2300,336,104,Tip
4224,18897,322,0,2300,-2300,336,106,Tip
4236,18913,328,0,2300,-2300,336,108,Tip
4247,18927,331,0,2300,-2300,336,110,Tip
4259,18940,334,0,2300,-2500,336,112,Tip
4271,18954,331,0,2300,-2500,336,114,Tip
4282,18966,328,0,2300,-2500,336,116,Tip
4292,18978,325,0,2300,-2500,336,118,Tip
4302,18989,323,0,2300,-2500,336,120,Tip
4311,18999,322,0,2300,-2500,336,122,Tip
4320,19008,324,0,2300,-2500,336,124,Tip
4330,19017,329,0,2300,-2500,336,127,Tip
4339,19025,341,0,2300,-2500,336,129,Tip
4348,19033,361,0,2300,-2500,336,131,Tip
4348,19033,361,0,2300,-2500,336,133,Tip
4356,19040,385,0,2300,-2500,336,135,Tip
4365,19046,411,0,2300,-2500,336,137,Tip
4373,19050,434,0,2200,-2500,336,139,Tip
4379,19055,451,0,2200,-2500,336,141,Tip
4385,19058,466,0,2200,-2500,336,143,Tip
4389,19061,482,0,2200,-2500,336,145,Tip
4394,19062,496,0,2200,-2500,336,147,Tip
4397,19064,509,0,2200,-2500,336,149,Tip
4401,19064,521,0,2200,-2500,336,152,Tip
4403,19064,527,0,2200,-2500,336,154,Tip
4404,19063,530,0,2200,-2500,336,156,Tip
4404,19062,531,0,2200,-2500,336,158,Tip
4405,19060,526,0,2200,-2500,336,160,Tip
4405,19058,523,0,2200,-2500,336,162,Tip
4405,19056,520,0,2200,-2500,336,164,Tip
4406,19052,522,0,2200,-2500,336,166,Tip
4405,19048,524,0,2200,-2500,336,168,Tip
4404,19044,528,0,2200,-2500,336,170,Tip
4402,19038,535,0,2200,-2500,336,172,Tip
4399,19032,543,0,2200,-2500,336,175,Tip
4395,19025,555,0,2200,-2500,336,177,Tip
4390,19017,568,0,2200,-2500,336,179,Tip
4383,19008,578,0,2200,-2500,336,181,Tip
4374,18999,586,0,2200,-2500,336,183,Tip
4363,18990,589,0,2200,-2500,336,185,Tip
4349,18978,591,0,2200,-2500,336,187,Tip
4335,18966,594,0,2200,-2500,336,189,Tip
4319,18953,596,0,2200,-2500,336,191,Tip
4301,18938,597,0,2200,-2500,336,193,Tip
4281,18923,597,0,2200,-2500,336,195,Tip
4259,18906,596,0,2200,-2500,336,197,Tip
4235,18888,595,0,2200,-2500,336,200,Tip
4210,18870,595,0,2100,-2500,336,202,Tip
4184,18851,594,0,2100,-2500,336,204,Tip
4156,18832,595,0,2100,-2500,336,206,Tip
4126,18812,595,0,2100,-2500,336,208,Tip
4094,18792,596,0,2100,-2500,336,210,Tip
4060,18770,600,0,2200,-2600,336,212,Tip
4024,18747,605,0,2200,-2600,336,214,Tip
3985,18722,614,0,2200,-2600,336,216,Tip
3944,18696,624,0,2200,-2600,336,218,Tip
3901,18669,632,0,2200,-2600,336,220,Tip
3856,18640,643,0,2200,-2600,336,222,Tip
3808,18611,653,0,2200,-2600,336,225,Tip
3758,18580,666,0,2200,-2600,336,227,Tip
3706,18548,680,0,2200,-2600,336,229,Tip
3650,18514,694,0,2200,-2500,336,231,Tip
3594,18479,708,0,2200,-2500,336,233,Tip
3535,18443,717,0,2200,-2500,336,235,Tip
3474,18406,728,0,2200,-2500,336,237,Tip
