X cood.,Y cood.,Pressure,Height,X tilt,Y tilt,Thickness,Time,Tip/Ers
8677,18360,0,-48,2200,-2100,0,0,Tip
8675,18361,0,-48,2200,-2100,0,2,Tip
8672,18363,0,-48,2200,-2100,0,4,Tip
8669,18366,0,-48,2200,-2100,0,6,Tip
8664,18370,0,-48,2300,-2100,0,8,Tip
8658,18374,0,-48,2300,-2100,0,10,Tip
8653,18378,0,-48,2300,-2100,0,12,Tip
8648,18383,0,-48,2300,-2100,0,14,Tip
8642,18387,0,-48,2300,-2100,0,16,Tip
8637,18392,0,-48,2300,-2100,0,18,Tip
8631,18396,0,-48,2300,-2100,0,20,Tip
8625,18401,0,-48,2300,-2100,0,22,Tip
8618,18406,0,-48,2300,-2100,0,24,Tip
8612,18410,0,-47,2300,-2100,0,27,Tip
8605,18415,0,-47,2300,-2100,0,29,Tip
8597,18420,0,-46,2300,-2100,0,31,Tip
8587,18424,0,-46,2300,-2100,0,33,Tip
8577,18428,0,-46,2300,-2100,0,35,Tip
8567,18432,0,-46,2300,-2100,0,37,Tip
8556,18435,0,-46,2300,-2100,0,39,Tip
8544,18438,0,-46,2300,-2100,0,41,Tip
8533,18441,0,-46,2500,-2100,0,43,Tip
8521,18444,0,-45,2500,-2100,0,45,Tip
8509,18446,0,-44,2500,-2100,0,47,Tip
8496,18448,0,-43,2500,-2200,0,50,Tip
8483,18450,0,-43,2500,-2200,0,52,Tip
8469,18453,0,-43,2500,-2200,0,54,Tip
8455,18454,0,-42,2500,-2200,0,56,Tip
8441,18456,0,-42,2500,-2200,0,58,Tip
8427,18458,0,-41,2500,-2200,0,60,Tip
8414,18460,0,-41,2500,-2200,0,62,Tip
8401,18461,0,-41,2600,-2200,0,64,Tip
8388,18462,0,-40,2600,-2200,0,66,Tip
8375,18463,0,-40,2600,-2200,0,68,Tip
8363,18464,0,-39,2600,-2200,0,70,Tip
8350,18464,0,-39,2600,-2200,0,72,Tip
8339,18465,0,-37,2600,-2200,0,75,Tip
8324,18465,0,-36,2600,-2200,0,77,Tip
8310,18466,0,-35,2600,-2200,0,79,Tip
8297,18467,0,-35,2700,-2200,0,81,Tip
8285,18467,0,-36,2700,-2200,0,83,Tip
8274,18467,0,-35,2700,-2200,0,85,Tip
8264,18468,0,-35,2700,-2200,0,87,Tip
8255,18469,0,-34,2700,-2200,0,89,Tip
8246,18469,0,-34,2700,-2200,0,91,Tip
8238,18470,0,-34,2700,-2200,0,93,Tip
8230,18471,0,-34,2700,-2200,0,95,Tip
8223,18473,0,-34,2700,-2200,0,97,Tip
8217,18474,0,-34,2700,-2200,0,99,Tip
8211,18476,0,-34,2700,-2200,0,102,Tip
8205,18479,0,-34,2700,-2200,0,104,Tip
8199,18481,0,-34,2800,-2200,0,106,Tip
8193,18483,0,-34,2800,-2200,0,108,Tip
8186,18484,0,-34,2800,-2200,0,110,Tip
8179,18486,0,-34,2800,-2200,0,112,Tip
